,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,54009,24149,25228,25992,26956,27902,28742,29711,30331,31023,31293,32381,32629,33343,34068,35051,35962,36902,37834,37855,38913,39282,39719,40691,41762,42673,43656,44685,45345,45811,47110,47996,48801,50008,50968,52458,53083,53207,53897,55565,56486,57263,58203,59045,59911,60736,61764,62791,63746,64779,65609,66831,67809,69053,70444,71102,72227,73008,73841,74873
1,54339,24294,25368,26157,27091,28034,28881,29822,30433,31151,31395,32507,32726,33475,34217,35161,36124,37076,37975,37992,39045,39373,39834,40802,41875,42805,43842,44856,45494,45983,47239,48170,48960,50215,51150,52736,53264,53349,54070,55742,56668,57466,58393,59239,60072,60930,61979,62965,63931,64974,65797,67013,67969,69238,70656,71240,72383,73128,73980,75032
2,54329,24408,25468,26281,27201,28137,28977,29900,30526,31267,31486,32609,32815,33567,34333,35248,36233,37207,38052,38086,39138,39459,39929,40893,41957,42901,43916,44974,45588,46099,47314,48294,49052,50346,51229,52862,53362,53472,54166,55829,56768,57592,58484,59346,60154,61054,62077,63051,64012,65067,65918,67088,68073,69337,70789,71324,72464,73201,74055,75112
3,54319,24497,25554,26383,27301,28218,29058,29965,30601,31352,31565,32686,32892,33646,34427,35323,36321,37315,38105,38167,39210,39533,40012,40962,42029,42978,43995,45074,45668,46196,47386,48391,49140,50472,51300,52947,53439,53574,54242,55904,56852,57709,58558,59439,60230,61156,62160,63129,64082,65150,66017,67154,68144,69413,70882,71398,72532,73266,74119,75173
4,54101,24668,25714,26583,27461,28366,29208,30081,30739,31502,31704,32838,33028,33789,34600,35462,36499,37520,38223,38310,39355,39665,40161,41103,42156,43130,44126,45277,45812,46388,47513,48573,49283,50668,51425,53102,53582,53759,54378,56034,57008,57904,58691,59604,60358,61339,62313,63269,64210,65305,66202,67292,68274,69556,71066,71529,72661,73383,74235,75289
5,66091,24904,25946,26865,27700,28586,29431,30253,30944,31719,31907,33036,33226,34000,34857,35665,36746,37822,38376,38517,39547,39857,40379,41291,42334,43342,44303,45536,46024,46651,47685,48834,49495,50962,51608,53334,53791,54029,54578,56226,57242,58194,58888,59849,60546,61611,62539,63479,64401,65535,66475,67469,68467,69770,71334,71721,72852,73556,74407,75444
6,66031,25034,26099,27047,27860,28736,29582,30375,31085,31849,32048,33156,33364,34144,35026,35806,36909,38016,38474,38660,39668,39985,40527,41421,42460,43487,44428,45698,46161,46823,47807,49004,49641,51150,51739,53478,53920,54204,54718,56358,57398,58382,59025,60011,60679,61788,62692,63622,64533,65689,66654,67594,68601,69914,71497,71855,72984,73678,74529,75528
7,66041,25168,26255,27233,28026,28892,29739,30502,31229,31977,32195,33275,33508,34292,35201,35953,37078,38208,38572,38809,39788,40112,40681,41558,42592,43637,44559,45858,46300,47002,47936,49172,49793,51339,51876,53621,54049,54375,54864,56497,57558,58570,59169,60177,60818,61971,62851,63772,64672,65848,66838,67726,68741,70065,71657,71996,73122,73808,74658,75621
8,66051,25254,26365,27362,28148,29006,29859,30597,31334,32063,32310,33355,33615,34401,35324,36066,37199,38333,38643,38924,39871,40205,40800,41667,42696,43752,44664,45967,46402,47135,48039,49290,49911,51465,51985,53717,54138,54492,54978,56605,57672,58698,59280,60294,60926,62101,62972,63889,64781,65963,66975,67832,68851,70181,71761,72107,73225,73911,74761,75670
9,66379,25381,26497,27516,28290,29139,29997,30707,31458,32179,32446,33473,33738,34528,35473,36200,37343,38487,38730,39061,39972,40315,40936,41796,42820,43891,44789,46112,46523,47297,48162,49428,50052,51620,52114,53847,54250,54632,55114,56734,57809,58851,59408,60430,61051,62255,63113,64025,64911,66099,67138,67957,68982,70321,71890,72238,73345,74033,74882,75751
