,trip_id,shape_id,route_id
0,5622,0_1,0_1
1,7559,0_1,0_1
2,7560,0_1,0_1
3,7561,0_1,0_1
4,7562,0_1,0_1
5,7563,0_1,0_1
6,2217,0_1,0_1
7,16227,0_1,0_1
8,2212,0_1,0_1
9,2213,0_1,0_1
10,7590,0_1,0_1
11,7591,0_1,0_1
12,7592,0_1,0_1
13,7593,0_1,0_1
14,7594,0_1,0_1
15,5619,0_1,0_1
16,5620,0_1,0_1
17,10426,0_1,0_1
18,10427,0_1,0_1
19,10428,0_1,0_1
20,10429,0_1,0_1
21,2214,0_1,0_1
22,6261,0_1,0_1
23,10432,0_1,0_1
24,20342,0_1,0_1
25,7589,0_1,0_1
26,20343,0_1,0_1
27,16226,0_1,0_1
28,2257,0_1,0_1
29,2258,0_1,0_1
30,2259,0_1,0_1
31,2260,0_1,0_1
32,2261,0_1,0_1
33,2262,0_1,0_1
34,6265,0_1,0_1
35,6264,0_1,0_1
36,16223,0_1,0_1
37,16224,0_1,0_1
38,16225,0_1,0_1
39,5602,0_1,0_1
40,5603,0_1,0_1
41,5604,0_1,0_1
42,5605,0_1,0_1
43,5606,0_1,0_1
44,5607,0_1,0_1
45,5608,0_1,0_1
46,2215,0_1,0_1
47,5623,0_1,0_1
48,2216,0_1,0_1
49,5618,0_1,0_1
50,6259,0_1,0_1
51,6260,0_1,0_1
52,5621,0_1,0_1
53,6262,0_1,0_1
54,6263,0_1,0_1
55,20344,0_1,0_1
56,20345,0_1,0_1
57,20346,0_1,0_1
58,10431,0_1,0_1
